WeatherDelay,AWND,PCRP,SNOW,AVGT
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
21,5.2,0,0,-2.9
0,5.2,0,0,-2.9
3,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
19,5.2,0,0,-2.9
27,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
39,5.2,0,0,-2.9
26,5.2,0,0,-2.9
45,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
7,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
9,5.2,0,0,-2.9
1,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
26,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
11,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
19,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
15,5.2,0,0,-2.9
0,5.2,0,0,-2.9
18,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
8,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
41,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
16,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
6,5.2,0,0,-2.9
33,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
9,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
9,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
15,5.2,0,0,-2.9
0,5.2,0,0,-2.9
13,5.2,0,0,-2.9
21,5.2,0,0,-2.9
7,5.2,0,0,-2.9
13,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
46,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
20,5.2,0,0,-2.9
0,5.2,0,0,-2.9
6,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
16,5.2,0,0,-2.9
2,5.2,0,0,-2.9
0,5.2,0,0,-2.9
9,5.2,0,0,-2.9
10,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
9,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
20,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
14,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
35,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
0,5.2,0,0,-2.9
3,5.2,0,0,-2.9
0,5.2,0,0,-2.9
27,5.2,0,0,-2.9
22,5.2,0,0,-2.9
0,5.2,0,0,-2.9
27,5.2,0,0,-2.9
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
8,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
8,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
31,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
0,4.5,0,0,-2.8
