WeatherDelay,AWND,PCRP,SNOW,AVGT,CMPND,,,,,,,,,,,,
0,4.9,2,0,16.9,165.62,,,,,,,,,,,,
0,5.1,0,0,8.2,0,,,,,,,,,,,,
103,2.5,29.2,0,24.4,1781.2,,,,,,,,,,,,
0,3.8,0,0,20.1,0,,,,,,,,,,,,
135,4.6,1.8,0,25.3,209.484,,,,,,,,,,,,
122,5.7,40.6,0,20.2,4674.684,,,,,,,,,,,,
80,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
0,2.3,0,0,22.2,0,,,,,,,,,,,,
82,3.5,53.3,0,25.3,4719.715,,,,,,,,,,,,
64,3.6,10.2,0,26.3,965.736,,,,,,,,,,,,
0,2.7,0,0,15.1,0,,,,,,,,,,,,
0,3.8,0,0,20.1,0,,,,,,,,,,,,
0,3.1,0,0,30.6,0,,,,,,,,,,,,
63,3,8.9,0,31.3,835.71,,,,,,,,,,,,
0,1.9,0,0,24.4,0,,,,,,,,,,,,
0,3.3,0,0,15.4,0,,,,,,,,,,,,
0,4.5,0,0,6.6,0,,,,,,,,,,,,
0,3.3,0,0,15.4,0,,,,,,,,,,,,
0,4.8,0,0,17.6,0,,,,,,,,,,,,
39,4.7,20.8,0,33.7,3294.512,,,,,,,,,,,,
0,8.1,2,0,31.6,511.92,,,,,,,,,,,,
107,4.7,20.8,0,33.7,3294.512,,,,,,,,,,,,
77,3,8.9,0,31.3,835.71,,,,,,,,,,,,
43,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
48,2.5,29.2,0,24.4,1781.2,,,,,,,,,,,,
48,5.1,21.3,0,28.6,3106.818,,,,,,,,,,,,
39,8,4.1,0,27.2,892.16,,,,,,,,,,,,
0,2.8,0,0,6.2,0,,,,,,,,,,,,
59,4.2,10.9,0,29.7,1359.666,,,,,,,,,,,,
43,3,8.9,0,31.3,835.71,,,,,,,,,,,,
59,5.1,0.8,0,29.8,121.584,,,,,,,,,,,,
46,5.7,40.6,0,20.2,4674.684,,,,,,,,,,,,
55,10.3,10.7,0,21.8,2402.578,,,,,,,,,,,,
36,5.1,0.8,0,29.8,121.584,,,,,,,,,,,,
47,7.6,4.8,0,8.4,306.432,,,,,,,,,,,,
105,4.7,24.6,0,18.5,2138.97,,,,,,,,,,,,
0,2.6,0,0,-3.8,0,,,,,,,,,,,,
35,5.1,0.8,0,29.8,121.584,,,,,,,,,,,,
0,6,0,0,11.1,0,,,,,,,,,,,,
0,2.1,0,0,17.5,0,,,,,,,,,,,,
0,7.2,0,0,23.9,0,,,,,,,,,,,,
46,2.9,3.6,0,25.7,268.308,,,,,,,,,,,,
0,4.8,0,0,25,0,,,,,,,,,,,,
31,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
0,5.8,0,0,9.7,0,,,,,,,,,,,,
0,2.2,1.3,0,8.2,23.452,,,,,,,,,,,,
0,4.7,0,0,23.2,0,,,,,,,,,,,,
31,2.6,0,0,31.4,0,,,,,,,,,,,,
0,5.6,0,0,16.9,0,,,,,,,,,,,,
0,4,1.3,0,25.7,133.64,,,,,,,,,,,,
0,4,0,0,18.2,0,,,,,,,,,,,,
0,5.3,0,0,20.9,0,,,,,,,,,,,,
0,5.5,0,0,19.8,0,,,,,,,,,,,,
0,8.3,0,0,9.9,0,,,,,,,,,,,,
174,3.5,53.3,0,25.3,4719.715,,,,,,,,,,,,
0,4.4,0,0,32.7,0,,,,,,,,,,,,
33,2.9,3.6,0,25.7,268.308,,,,,,,,,,,,
105,2.6,0,0,31.4,0,,,,,,,,,,,,
0,9.2,44.5,0,10.5,4298.7,,,,,,,,,,,,
85,3.6,0,0,30.7,0,,,,,,,,,,,,
0,2.8,0,0,6.2,0,,,,,,,,,,,,
0,3.7,3,0,25.4,281.94,,,,,,,,,,,,
0,2.9,0,0,21.4,0,,,,,,,,,,,,
42,5.3,9.7,0,28.7,1475.467,,,,,,,,,,,,
57,5.9,0,0,16.3,0,,,,,,,,,,,,
236,4.7,20.8,0,33.7,3294.512,,,,,,,,,,,,
0,5.1,0.8,0,29.8,121.584,,,,,,,,,,,,
35,5.3,9.7,0,28.7,1475.467,,,,,,,,,,,,
0,5.5,0,0,28.2,0,,,,,,,,,,,,
94,2.9,3.6,0,25.7,268.308,,,,,,,,,,,,
296,5.1,21.3,0,28.6,3106.818,,,,,,,,,,,,
45,3,8.9,0,31.3,835.71,,,,,,,,,,,,
0,6.9,20.6,0,20.1,2857.014,,,,,,,,,,,,
0,3.4,0,0,5.8,0,,,,,,,,,,,,
283,2.9,3.6,0,25.7,268.308,,,,,,,,,,,,
242,2.9,3.6,0,25.7,268.308,,,,,,,,,,,,
160,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
49,6.5,81.3,0,28.3,14955.135,,,,,,,,,,,,
0,7.4,0,0,17.3,0,,,,,,,,,,,,
49,5.1,21.3,0,28.6,3106.818,,,,,,,,,,,,
0,4.8,0,0,25,0,,,,,,,,,,,,
0,6.4,3,0,29.8,572.16,,,,,,,,,,,,
0,7.8,0,0,27.6,0,,,,,,,,,,,,
69,3.9,2,0,25.9,202.02,,,,,,,,,,,,
61,3.5,53.3,0,25.3,4719.715,,,,,,,,,,,,
0,2.6,0,0,16.3,0,,,,,,,,,,,,
38,3.6,10.2,0,26.3,965.736,,,,,,,,,,,,
44,3.5,53.3,0,25.3,4719.715,,,,,,,,,,,,
0,2.3,0,0,5.9,0,,,,,,,,,,,,
114,5.7,40.6,0,20.2,4674.684,,,,,,,,,,,,
30,5.1,0.8,0,29.8,121.584,,,,,,,,,,,,
91,2.5,29.2,0,24.4,1781.2,,,,,,,,,,,,
0,3,17,0,23.9,1218.9,,,,,,,,,,,,
0,4.6,0,0,7.3,0,,,,,,,,,,,,
0,10.3,10.7,0,21.8,2402.578,,,,,,,,,,,,
51,2.1,2,0,27.4,115.08,,,,,,,,,,,,
116,4,0,0,1.9,0,,,,,,,,,,,,
0,8.2,0,0,4.7,0,,,,,,,,,,,,
0,5.2,0,0,16.3,0,,,,,,,,,,,,
0,2.3,0,0,20.2,0,,,,,,,,,,,,
0,2.7,0,0,15.1,0,,,,,,,,,,,,
152,2.9,3.6,0,25.7,268.308,,,,,,,,,,,,
46,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
39,7.6,4.8,0,8.4,306.432,,,,,,,,,,,,
72,2.9,3.6,0,25.7,268.308,,,,,,,,,,,,
85,3.6,0,0,28.7,0,,,,,,,,,,,,
64,2.9,3.6,0,25.7,268.308,,,,,,,,,,,,
71,10.3,10.7,0,21.8,2402.578,,,,,,,,,,,,
0,2.5,0,0,29.7,0,,,,,,,,,,,,
0,3.6,0,0,24.1,0,,,,,,,,,,,,
146,4.7,24.6,0,18.5,2138.97,,,,,,,,,,,,
44,2.6,0,0,31.4,0,,,,,,,,,,,,
0,3.7,0,0,21.6,0,,,,,,,,,,,,
0,4.6,8.9,0,19.6,802.424,,,,,,,,,,,,
59,2.1,2,0,27.4,115.08,,,,,,,,,,,,
0,5.1,0.8,0,29.8,121.584,,,,,,,,,,,,
0,4.2,0,0,29,0,,,,,,,,,,,,
222,4.7,20.8,0,33.7,3294.512,,,,,,,,,,,,
46,5.1,0.8,0,29.8,121.584,,,,,,,,,,,,
0,2.8,0,0,6.2,0,,,,,,,,,,,,
0,3.3,14.2,0,16.9,791.934,,,,,,,,,,,,
0,3.8,0,0,33.4,0,,,,,,,,,,,,
31,3,0.8,0,31.4,75.36,,,,,,,,,,,,
31,3.4,3,0,28,285.6,,,,,,,,,,,,
0,2.1,2,0,27.4,115.08,,,,,,,,,,,,
0,3.9,0,0,27.1,0,,,,,,,,,,,,
0,7.6,0,0,12.6,0,,,,,,,,,,,,
0,8,4.1,0,27.2,892.16,,,,,,,,,,,,
0,4.9,0,0,12.9,0,,,,,,,,,,,,
103,5.1,0.8,0,29.8,121.584,,,,,,,,,,,,
0,3,0.8,0,31.4,75.36,,,,,,,,,,,,
85,7.2,3.8,0,26.5,725.04,,,,,,,,,,,,
0,2.9,10.2,0,22.2,656.676,,,,,,,,,,,,
131,4.7,20.8,0,33.7,3294.512,,,,,,,,,,,,
0,5.7,40.6,0,20.2,4674.684,,,,,,,,,,,,
133,5.9,0,0,16.3,0,,,,,,,,,,,,
0,7.8,18.5,0,26.1,3766.23,,,,,,,,,,,,
133,2.5,29.2,0,24.4,1781.2,,,,,,,,,,,,
36,6.5,81.3,0,28.3,14955.135,,,,,,,,,,,,
0,2.3,0,0,22.2,0,,,,,,,,,,,,
74,2.5,29.2,0,24.4,1781.2,,,,,,,,,,,,
68,3.4,3,0,28,285.6,,,,,,,,,,,,
0,3.8,0,0,22.2,0,,,,,,,,,,,,
32,6.9,20.6,0,20.1,2857.014,,,,,,,,,,,,
34,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
79,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
0,3.8,0,0,22.2,0,,,,,,,,,,,,
0,2.7,0,0,6.8,0,,,,,,,,,,,,
0,4.2,0,0,18.6,0,,,,,,,,,,,,
126,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
0,3.2,0.3,0,12.1,11.616,,,,,,,,,,,,
55,3,8.9,0,31.3,835.71,,,,,,,,,,,,
51,4.6,1.8,0,25.3,209.484,,,,,,,,,,,,
0,7,0,0,19.1,0,,,,,,,,,,,,
144,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
124,10.3,10.7,0,21.8,2402.578,,,,,,,,,,,,
0,8.8,1,0,19.4,170.72,,,,,,,,,,,,
85,8,4.1,0,27.2,892.16,,,,,,,,,,,,
0,3.9,0,0,28.6,0,,,,,,,,,,,,
80,5.1,21.3,0,28.6,3106.818,,,,,,,,,,,,
60,7.1,3,0,22.6,481.38,,,,,,,,,,,,
34,2.5,29.2,0,24.4,1781.2,,,,,,,,,,,,
0,2,0,0,8.3,0,,,,,,,,,,,,
0,5.7,0,0,15.7,0,,,,,,,,,,,,
0,6.2,23.4,0,22.2,3220.776,,,,,,,,,,,,
0,4.9,2,0,16.9,165.62,,,,,,,,,,,,
104,5.1,0.8,0,29.8,121.584,,,,,,,,,,,,
0,5.9,0,0,14.4,0,,,,,,,,,,,,
0,4.5,0.5,0,17.6,39.6,,,,,,,,,,,,
72,4.7,24.6,0,18.5,2138.97,,,,,,,,,,,,
0,4,1.3,0,25.7,133.64,,,,,,,,,,,,
84,5.1,21.3,0,28.6,3106.818,,,,,,,,,,,,
78,4.2,10.9,0,29.7,1359.666,,,,,,,,,,,,
0,3.7,0,0,8.7,0,,,,,,,,,,,,
77,4.7,20.8,0,33.7,3294.512,,,,,,,,,,,,
0,8,4.1,0,27.2,892.16,,,,,,,,,,,,
0,4,0,0,18.2,0,,,,,,,,,,,,
40,4.6,1.8,0,25.3,209.484,,,,,,,,,,,,
0,3.5,0,0,7.1,0,,,,,,,,,,,,
66,6.5,81.3,0,28.3,14955.135,,,,,,,,,,,,
0,2.9,0.5,0,29.4,42.63,,,,,,,,,,,,
0,6.4,0,0,30.1,0,,,,,,,,,,,,
0,3.7,0,0,21.6,0,,,,,,,,,,,,
46,5.7,40.6,0,20.2,4674.684,,,,,,,,,,,,
0,2.6,0,0,-3.8,0,,,,,,,,,,,,
0,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
0,3.4,0,0,32.3,0,,,,,,,,,,,,
92,3.4,3,0,28,285.6,,,,,,,,,,,,
142,10.3,10.7,0,21.8,2402.578,,,,,,,,,,,,
51,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
0,2.2,0,0,29.7,0,,,,,,,,,,,,
0,3.3,19.8,0,6.7,437.778,,,,,,,,,,,,
0,6.6,0,0,19.4,0,,,,,,,,,,,,
0,2.3,0,0,29.6,0,,,,,,,,,,,,
0,5.9,0,0,27.8,0,,,,,,,,,,,,
174,5.1,21.3,0,28.6,3106.818,,,,,,,,,,,,
46,4.7,24.6,0,18.5,2138.97,,,,,,,,,,,,
0,6,0,0,21.7,0,,,,,,,,,,,,
0,6.4,0,0,13.7,0,,,,,,,,,,,,
0,4.1,0,0,28.8,0,,,,,,,,,,,,
0,4.1,0,0,33.3,0,,,,,,,,,,,,
37,5.7,40.6,0,20.2,4674.684,,,,,,,,,,,,
102,2.9,3.6,0,25.7,268.308,,,,,,,,,,,,
0,3.9,0,0,31.4,0,,,,,,,,,,,,
0,4.2,0,0,10,0,,,,,,,,,,,,
46,8.4,0,0,16,0,,,,,,,,,,,,
41,2.1,2,0,27.4,115.08,,,,,,,,,,,,
50,2.9,3.6,0,25.7,268.308,,,,,,,,,,,,
89,10.3,10.7,0,21.8,2402.578,,,,,,,,,,,,
0,2.4,0,0,13.6,0,,,,,,,,,,,,
47,3.6,0,0,28.7,0,,,,,,,,,,,,
143,3.5,53.3,0,25.3,4719.715,,,,,,,,,,,,
47,4.7,24.6,0,18.5,2138.97,,,,,,,,,,,,
39,6.9,20.6,0,20.1,2857.014,,,,,,,,,,,,
0,3.5,0,0,23.8,0,,,,,,,,,,,,
0,2.7,0,0,6.8,0,,,,,,,,,,,,
90,4.2,10.9,0,29.7,1359.666,,,,,,,,,,,,
0,4.1,0,0,33.3,0,,,,,,,,,,,,
0,5,14.5,0,16.4,1189,,,,,,,,,,,,
0,5.9,0,0,29.3,0,,,,,,,,,,,,
