Date,Destination Airport,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),AWND,PCRP,SNOW,AVGT
1/2/2016,LAX,13,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DCA,-4,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,CLT,-5,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,STL,-2,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,SAN,-3,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,JFK,0,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PHX,-1,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,STL,1,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,MIA,-3,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,STL,-4,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PHL,-6,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DFW,10,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,AUS,2,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LAX,-1,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,MIA,-4,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,MIA,-10,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,BOS,4,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PHX,-1,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PHL,-4,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,FLL,6,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,FLL,-1,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,RSW,10,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,TPA,-5,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,RDU,-6,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,MSP,-8,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DEN,0,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,BOS,-8,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LAX,0,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,MIA,7,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,JAC,15,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,MCO,-6,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,SEA,0,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,SFO,1,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,RNO,-6,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PBI,21,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,CLT,0,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,CLT,89,0,0,0,0,59,5.4,0,0,-2.8
1/2/2016,CLT,2,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,CLT,-7,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,CLT,-10,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PHX,2,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,CLT,30,9,0,0,0,6,5.4,0,0,-2.8
1/2/2016,SAN,1,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,MSP,-2,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PHX,-1,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,MIA,-1,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,MCO,-7,0,0,0,0,0,5.4,0,0,-2.8
